keyFifths,beats,beatsType,harmonyRootStep,harmonyRootAlter,divisions,harmonyKind,harmonyDuration,sequenceId,startPitchStep,startPitchOctave,startPitchAlter,targetPitchStep,targetPitchOctave,targetPitchAlter
4,4,4,F,1,1,minor-seventh,4,fe640c0d-bc2d-49ca-8cdc-1660283adc57,F,3,1,B,2,0
4,4,4,B,0,1,dominant,4,f14615f3-ec8b-48a4-8714-4660647ae217,B,2,0,E,2,0
4,4,4,E,0,1,major-seventh,4,a60dd760-d1da-4db7-a279-3762f9594162,E,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,770c0848-a04f-4865-a2dd-ad23eef5ec5f,E,3,0,F,2,0
-3,4,4,F,0,1,minor-seventh,4,713a28bc-df36-40c6-9ca4-ceab7c0092e5,F,2,0,B,2,-1
-3,4,4,B,-1,1,dominant,4,4f7eb20b-6b57-47a0-bbf4-8eae5fcef0da,B,2,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,cc979bbe-33cd-4cce-a35f-90a45958d5c9,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,f4f446b5-706b-4454-a9c0-116756533fd4,E,3,-1,E,2,0
2,4,4,E,0,1,minor-seventh,4,a7675fae-63f8-4015-b472-399a29bc3bd5,E,2,0,A,2,0
2,4,4,A,0,1,dominant,4,3ab16603-1ee7-4642-85e4-64e288aeb3cd,A,2,0,D,3,0
2,4,4,D,0,1,major-seventh,4,40355e30-afa1-4246-8cb1-8c3cc203e86a,D,3,0,D,3,0
2,4,4,D,0,1,major-seventh,4,3fa08622-b518-4b8d-be9f-7d339a3c50b9,D,3,0,E,3,-1
-5,4,4,E,-1,1,minor-seventh,4,911b5120-2673-45f8-a0cb-ade04750208f,E,3,-1,A,2,-1
-5,4,4,A,-1,1,dominant,4,0d1c1e3d-9de3-4cd3-8c7e-54c5c3a64ee6,A,2,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,6f0247d0-ab24-414e-a346-30119c6bbdc7,D,3,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,784cff48-a8a6-4ab2-b217-aefc35dac151,D,3,-1,D,3,1
7,4,4,D,1,1,minor-seventh,4,2c3abd9a-75c1-4697-8b7a-322f879f16cd,D,3,1,G,2,1
7,4,4,G,1,1,dominant,4,b99b437a-8bba-4cf3-889c-b4dddaa0f1ea,G,2,1,C,3,1
7,4,4,C,1,1,major-seventh,4,b604bed6-4c0e-4712-b072-e842dd1922a3,C,3,1,C,3,1
7,4,4,C,1,1,major-seventh,4,1db62b50-c24e-47cc-975c-8c2dc39e534c,C,3,1,D,3,0
0,4,4,D,0,1,minor-seventh,4,c69399e4-043c-4e82-921c-ce4952fbc6c4,D,3,0,G,3,0
0,4,4,G,0,1,dominant,4,90a8e9da-8ef6-433b-9bf7-50a8d50886e8,G,3,0,C,3,0
0,4,4,C,0,1,major-seventh,4,918fe172-32ef-4c24-947e-4a637ad76b8f,C,3,0,C,3,0
0,4,4,C,0,1,major-seventh,4,30ff8141-1892-4b4d-b53c-80e152bf05a7,C,3,0,C,3,1
5,4,4,C,1,1,minor-seventh,4,bacb6d6c-7787-4de4-987e-468acf3b1ec9,C,3,1,F,3,1
5,4,4,F,1,1,dominant,4,e82e53de-6de1-47a2-b27c-b3739f986498,F,3,1,B,2,0
5,4,4,B,0,1,major-seventh,4,3a1d795d-8573-492d-8dc3-5bfd848add2e,B,2,0,B,2,0
5,4,4,B,0,1,major-seventh,4,33a46c46-c65d-48fc-b173-3ce126c9129e,B,2,0,D,3,-1
-7,4,4,D,-1,1,minor-seventh,4,3960d02d-8055-4a07-9e9d-5f2e6b4f3c08,D,3,-1,G,3,-1
-7,4,4,G,-1,1,dominant,4,3b13715b-f844-4acc-991a-870f9ca3437b,G,3,-1,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,d702be12-1cc2-4652-b7d7-227128f94674,C,3,-1,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,90618ec4-4ecd-4863-aec2-53dbcb6c5c36,C,3,-1,C,3,0
-2,4,4,C,0,1,minor-seventh,4,8dcbe233-8747-4552-80e4-bada5a5caf8c,C,3,0,F,3,0
-2,4,4,F,0,1,dominant,4,21e9bcb3-b950-4ac4-bfb4-d6d118d33f2b,F,3,0,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,2fda96b8-7718-4077-b7f1-0b5a5125966f,B,2,-1,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,c5dc9865-c4f7-4092-81e3-c388dd445617,B,2,-1,B,2,0
3,4,4,B,0,1,minor-seventh,4,e058db0a-290b-4c60-a590-eae0caf00683,B,2,0,E,3,0
3,4,4,E,0,1,dominant,4,3d0ee802-c569-4519-b092-9144c61aa5ab,E,3,0,A,2,0
3,4,4,A,0,1,major-seventh,4,d0ebb63d-15c8-4e3b-a6f6-a6beb772cac0,A,2,0,A,2,0
3,4,4,A,0,1,major-seventh,4,ebe594fd-e2d4-476c-acf7-2f4399edecbf,A,2,0,B,2,-1
-4,4,4,B,-1,1,minor-seventh,4,a2a80c51-1a38-4149-a8ff-282ad116b59d,B,2,-1,E,3,-1
-4,4,4,E,-1,1,dominant,4,9a344f04-d10f-451c-ad86-629f51c808e1,E,3,-1,A,2,-1
-4,4,4,A,-1,1,major-seventh,4,bbc24d7b-9e0d-4608-b1e3-8a67ae2854fd,A,2,-1,A,2,-1
-4,4,4,A,-1,1,major-seventh,4,9ce1ac67-7403-43d4-ab78-985df959f07c,A,2,-1,A,2,0
1,4,4,A,0,1,minor-seventh,4,40f6bd29-d181-4f63-b174-9e25bac2bbd6,A,2,0,D,3,0
1,4,4,D,0,1,dominant,4,1fb732eb-a808-4df8-b8a5-accfcec6aa0b,D,3,0,G,3,0
1,4,4,G,0,1,major-seventh,4,42a8d50e-9cb1-4705-8a24-252a04851762,G,3,0,G,2,0
